start_date_raw,start_time,end_date_raw,team,event_name,venue,venue_address,url,source
2026/07/16,,,サッカー部,JR東日本カップ2026 第100回関東大学サッカーリーグ戦【1部】 対中央大学,中央大学多摩キャンパスサッカー場,,https://www.jufa-kanto.jp/files/co/news/league/2026/%E2%80%BB%E8%A8%82%E6%AD%A3%280629%29100th_%E6%97%A5%E7%A8%8B%E8%A1%A8%28%E5%85%83%E3%83%87%E3%83%BC%E3%82%BF%29.pdf,AI抽出:high信頼度
2026/09/26,18:00,,サッカー部,JR東日本カップ2026 第100回関東大学サッカーリーグ戦【1部】 対日本大学,日本大学アスレティックパーク稲城　サッカーフィールド,,https://www.jufa-kanto.jp/files/co/news/league/2026/%E2%80%BB%E8%A8%82%E6%AD%A3%280629%29100th_%E6%97%A5%E7%A8%8B%E8%A1%A8%28%E5%85%83%E3%83%87%E3%83%BC%E3%82%BF%29.pdf,AI抽出:high信頼度
2026/10/03,14:00,,サッカー部,JR東日本カップ2026 第100回関東大学サッカーリーグ戦【1部】 対駒澤大学,明治大学八幡山グラウンド,,https://www.jufa-kanto.jp/files/co/news/league/2026/%E2%80%BB%E8%A8%82%E6%AD%A3%280629%29100th_%E6%97%A5%E7%A8%8B%E8%A1%A8%28%E5%85%83%E3%83%87%E3%83%BC%E3%82%BF%29.pdf,AI抽出:high信頼度
2026/10/10,14:00,,サッカー部,JR東日本カップ2026 第100回関東大学サッカーリーグ戦【1部】 対法政大学,明治大学八幡山グラウンド,,https://www.jufa-kanto.jp/files/co/news/league/2026/%E2%80%BB%E8%A8%82%E6%AD%A3%280629%29100th_%E6%97%A5%E7%A8%8B%E8%A1%A8%28%E5%85%83%E3%83%87%E3%83%BC%E3%82%BF%29.pdf,AI抽出:high信頼度
2026/10/17,14:00,,サッカー部,JR東日本カップ2026 第100回関東大学サッカーリーグ戦【1部】 対日本体育大学,明治大学八幡山グラウンド,,https://www.jufa-kanto.jp/files/co/news/league/2026/%E2%80%BB%E8%A8%82%E6%AD%A3%280629%29100th_%E6%97%A5%E7%A8%8B%E8%A1%A8%28%E5%85%83%E3%83%87%E3%83%BC%E3%82%BF%29.pdf,AI抽出:high信頼度
2026/10/21,18:00,,サッカー部,JR東日本カップ2026 第100回関東大学サッカーリーグ戦【1部】 対筑波大学,フカガワみらいフィールド,,https://www.jufa-kanto.jp/files/co/news/league/2026/%E2%80%BB%E8%A8%82%E6%AD%A3%280629%29100th_%E6%97%A5%E7%A8%8B%E8%A1%A8%28%E5%85%83%E3%83%87%E3%83%BC%E3%82%BF%29.pdf,AI抽出:high信頼度
2026/10/24,14:00,,サッカー部,JR東日本カップ2026 第100回関東大学サッカーリーグ戦【1部】 対東洋大学,東洋大学朝霞キャンパス・サッカー場,,https://www.jufa-kanto.jp/files/co/news/league/2026/%E2%80%BB%E8%A8%82%E6%AD%A3%280629%29100th_%E6%97%A5%E7%A8%8B%E8%A1%A8%28%E5%85%83%E3%83%87%E3%83%BC%E3%82%BF%29.pdf,AI抽出:high信頼度
2026/10/31,14:00,,サッカー部,JR東日本カップ2026 第100回関東大学サッカーリーグ戦【1部】 対国士舘大学,明治大学八幡山グラウンド,,https://www.jufa-kanto.jp/files/co/news/league/2026/%E2%80%BB%E8%A8%82%E6%AD%A3%280629%29100th_%E6%97%A5%E7%A8%8B%E8%A1%A8%28%E5%85%83%E3%83%87%E3%83%BC%E3%82%BF%29.pdf,AI抽出:high信頼度
2026/11/03,14:00,,サッカー部,JR東日本カップ2026 第100回関東大学サッカーリーグ戦【1部】 対桐蔭横浜大学,桐蔭学園多目的グラウンド,,https://www.jufa-kanto.jp/files/co/news/league/2026/%E2%80%BB%E8%A8%82%E6%AD%A3%280629%29100th_%E6%97%A5%E7%A8%8B%E8%A1%A8%28%E5%85%83%E3%83%87%E3%83%BC%E3%82%BF%29.pdf,AI抽出:high信頼度
2026/11/07,14:00,,サッカー部,JR東日本カップ2026 第100回関東大学サッカーリーグ戦【1部】 対早稲田大学,神奈川県立保土ケ谷公園サッカー場,,https://www.jufa-kanto.jp/files/co/news/league/2026/%E2%80%BB%E8%A8%82%E6%AD%A3%280629%29100th_%E6%97%A5%E7%A8%8B%E8%A1%A8%28%E5%85%83%E3%83%87%E3%83%BC%E3%82%BF%29.pdf,AI抽出:high信頼度
2026/11/08,14:00,,サッカー部,JR東日本カップ2026 第100回関東大学サッカーリーグ戦【1部】 対東海大学,,,https://www.jufa-kanto.jp/files/co/news/league/2026/%E2%80%BB%E8%A8%82%E6%AD%A3%280629%29100th_%E6%97%A5%E7%A8%8B%E8%A1%A8%28%E5%85%83%E3%83%87%E3%83%BC%E3%82%BF%29.pdf,AI抽出:high信頼度
2026/07/18,,,バスケットボール部（男子）,2026年度 高麗大学定期戦 対高麗大学,,,https://meiji-basketball.com/fixtures-results/,AI抽出:high信頼度
2026/09/05,,,バレーボール部,秋季リーグ,,,https://meiji-volley.com/game,AI抽出:high信頼度
2026/07/18,16:45,,競走部,ホクレン・ディスタンスチャレンジ2026 士別大会,士別市陸上競技場,,https://meiji-kyoso.com/schedule,AI抽出:high信頼度
2026/07/18,,,競走部,第80回国民スポーツ大会東京都代表選手選考会,駒沢オリンピック公園総合運動場陸上競技場,,https://meiji-kyoso.com/schedule,AI抽出:high信頼度
2026/07/21,,,競走部,第33回相模原マンスリーナイタースプリント公認記録会,相模原ギオンスタジアム,,https://meiji-kyoso.com/schedule,AI抽出:high信頼度
