collected_at,start_date_raw,start_time,end_date_raw,team,event_name,venue,venue_address,event_type,format,highlights,note,url,welcome_match,member_type
6/2,2026/6/1,,06/30,美術研究会,六月展,和泉キャンパス図書館ギャラリー,東京都杉並区永福1丁目9−1,,,,,https://www.instagram.com/p/DZEETY9vAmO/,,
6/5,2026/6/4,,06/07,体育会 水泳部（競泳）,第102回 日本選手権水泳競技大会,東京アクアティクスセンター,東京都江東区辰巳2-2-1,,,,,https://aquatics.or.jp/tournament/57945/,,
6/1,2026/6/5,,06/07,体育会 射撃部,日本学生選抜スポーツ射撃競技大会,伊勢原射撃場,神奈川県伊勢原市上粕屋2380,,,,,https://meijidaigakusyagekibu.jimdofree.com/%E3%82%B9%E3%82%B1%E3%82%B8%E3%83%A5%E3%83%BC%E3%83%AB/,,
2026/03/13 17:48:00,2026/06/06,11:00,,体育会 サッカー部,関東大学サッカーリーグ戦1部　明治大 vs ⽇本体育大学,日本体育大学健志台キャンパス,神奈川県横浜市青葉区鴨志田町1221-1,リーグ戦,団体,,自動取得: 2026/3/13,https://football-system.jp/fss/pub_taikaigamelist.php?lid=QyXUlC6jQ18=,,
6/3,2026/6/6,13:00,,体育会 準硬式野球部,全日本大学準硬式野球選手権大会出場予選会,法政大学川崎総合グラウンド,神奈川県川崎市中原区木月大町４−１,,,,,https://www.instagram.com/p/DY0xFRWkohU/,,
6/3,2026/6/6,15:00,,体育会 水泳部（水球）,日本選手権最終予選会　対稲泳会,クロコくんアリーナ,愛知県名古屋市南区東又兵ヱ町５丁目１−５,,,,,https://www.instagram.com/p/DZBwQ-0Eqnc/?igsh=cWMyczJ3N21tZmUw,,
5/17,2026/6/7,13:00,,体育会 ラグビー部,2026 SPRING SEASON 対早稲田,ミクニワールドスタジアム北九州,福岡県北九州市小倉北区浅野3丁目9−33,,,,,https://www.instagram.com/p/DWDvyeRCe5S/?igsh=b3I0NjFpNTF2Y2Zx,,
6/5,2026/6/7,14:00,,落語研究会,松明寄席　　1084教室,リバティタワー,東京都千代田区神田駿河台1−1,,,,,https://x.com/otiken_subenanb/status/2061772261242372549,,
5/29,2026/6/7,17:00,,ハーモニカソサエティ,第67回四大学ジョイントコンサート,たましんRISURUホール（立川市民会館）,東京都立川市錦町3丁目3−20,,,,,https://www.instagram.com/p/DY6lKybyV5-/?igsh=ZXM3eGI5eDQweG1r,,
2026/03/13 17:48:00,2026/06/07,18:00,,体育会 サッカー部,関東大学サッカーリーグ戦1部　明治大 vs 中央大学,桐蔭学園多⽬的グラウンド,神奈川県横浜市青葉区鉄町１８５７,リーグ戦,団体,,自動取得: 2026/3/13,https://football-system.jp/fss/pub_taikaigamelist.php?lid=QyXUlC6jQ18=,,
,2026/6/7,,,体育会 アメリカンフットボール部,対法政,法政大学川崎総合グラウンド,神奈川県川崎市中原区木月大町4−1,,,,,https://www.meiji-griffins.net/schedule/,,
5/17,2026/6/13,14:00,,体育会 水泳部（水球）,関東学生リーグ　2026 対日本大,専修大学生田キャンパス,神奈川県川崎市多摩区東三田2-1-1,,,,,https://www.instagram.com/p/DYV-uVogROQ/?igsh=MzR2dWxrMnN2YTVv,,
2026/03/13 17:48:00,2026/06/13,14:00,,体育会 サッカー部,関東大学サッカーリーグ戦1部　明治大 vs ⽇本大学,明治大学八幡山グラウンド,東京都世田谷区八幡山2-18-10,リーグ戦,団体,,自動取得: 2026/3/13,https://football-system.jp/fss/pub_taikaigamelist.php?lid=QyXUlC6jQ18=,,
6/10,2026/6/13,,06/14,体育会 アーチェリー部,男女王座決定戦,静岡県つま恋リゾート彩の郷,静岡県掛川市満水2000,,,,,https://www.instagram.com/p/DZZKsHeJ9uh/?igsh=Ymg0b2t4OWgxb3Vm,,
,2026/6/13,,,体育会 ラクロス部（男子）,春の最強決定戦2026オールスター,ブリオベッカ浦安競技場,千葉県浦安市舞浜2番地２７,,,,,https://www.instagram.com/p/DZZ5LZtARzn/?igsh=a3J2cm9iaHRyeHBn,,
6/3,2026/6/14,10:00,,体育会 バスケットボール部（男子）,立命館大学定期戦,明治大学和泉キャンパス総合体育館,東京都杉並区永福1-12-18,,,,,https://www.instagram.com/p/DZFDQvcj1zM/?igsh=MXgwcHF5NGVvd291dA==,,
5/17,2026/6/14,12:30,,体育会 水泳部（水球）,関東学生リーグ　2026 対慶應,慶応大学日吉キャンパス,神奈川県横浜市港北区日吉4-1-1,,,,,https://www.instagram.com/p/DYV-uVogROQ/?igsh=MzR2dWxrMnN2YTVv,,
6/11,2026/6/14,13:00,,体育会 準硬式野球部,準硬式野球全日本大会,スリーボンドスタジアム八王子（富士森公園野球場）,東京都八王子市台町2-2（富士森公園内）,,,,,https://www.instagram.com/p/DY1AI6FRF6f/,,
6/8,06/14,15:00,,落語研究会,おれっ亭かっこいい改め三代目中野家登三治襲名披露会 リバティータワー1063教室,リバティタワー,東京都千代田区神田駿河台1−1,,,,,https://x.com/oosawasisiwo/status/2048025842174001397/photo/1,,
,2026/6/14,,,体育会 アメリカンフットボール部,対神戸,アミノバイタルフィールド,東京都調布市西町376-3,,,,,https://www.meiji-griffins.net/schedule/,,
6/3,2026/6/16,,06/18,体育会 レスリング部,東日本学生リーグ戦,駒沢オリンピック公園総合運動体育館,東京都世田谷区駒沢公園1,,,,,https://www.instagram.com/p/DZHBfY_E8eL/?igsh=MWpvOHQ3czNxOXUwdw==,,
5/17,2026/6/20,10:00,,体育会 水泳部（水球）,関東学生リーグ　2026 対中央,日本体育大学健志台キャンパス,神奈川県横浜市青葉区鴨志田町1221-1,,,,,https://www.instagram.com/p/DYV-uVogROQ/?igsh=MzR2dWxrMnN2YTVv,,
6/1,2026/6/20,14:45,,体育会 応援団,第73回六旗の下に,府中の森芸術劇場,東京都府中市浅間町1-2,,,,,http://rokudai-ouen.com/%E7%AC%AC%E4%B8%83%E5%8D%81%E4%BA%8C%E5%9B%9E%E5%85%AD%E6%97%97%E3%81%AE%E4%B8%8B%E3%81%AB,,
1/22,06/20,,06/21,体育会 馬術部,関東学生馬術三大大会（馬場・障害）,馬事公苑,東京都世田谷区上用賀2-1-1,,,,,https://kantougakusei.wixsite.com/website,,
5/12,2026/6/20,,06/21,体育会 自動車部,全関東学生ダートトライアル選手権大会,モーターランド野沢,長野県下高井郡野沢温泉村七ケ巻735−ロ,,,,,https://www.ajsaa-kantou.org/blank-2,,
