
alias,canonical
体育会 水泳（競泳）部,水泳部（競泳）
体育会水泳（競泳）部,水泳部（競泳）
水泳部 競泳部門,水泳部（競泳）
水泳部　競泳部門,水泳部（競泳）
体育会 ラクロス（男子）,ラクロス部（男子）
体育会ラクロス（男子）,ラクロス部（男子）
体育会 ラクロス（男子）部,ラクロス部（男子）
体育会 ラクロス（女子）,ラクロス部（女子）
体育会ラクロス（女子）,ラクロス部（女子）
体育会 ラクロス（女子）部,ラクロス部（女子）
体育会 馬術,馬術部
体育会馬術,馬術部
体育会 バトミントン部,バドミントン部
体育会バトミントン部,バドミントン部
体育会 スケート部 フィギュア部門,スケート部（フィギュア）
体育会 スケート部　フィギュア部門,スケート部（フィギュア）
体育会 スケート部 アイスホッケー部門,スケート部（アイスホッケー ）
体育会 スケート部　スピード部門,スケート部（スピード )
体育会 スケート部 スピード部門,スケート部（スピード )
体育会 競争部,競走部
体育会競争部,競走部
体育会 ボートセーリング部,ボードセーリング部
体育会 ソフトテニズ部,ソフトテニス部
体育会柔道部,柔道部
混成合唱団,混声合唱団
第140回明大祭実行委員会,明大祭実行委員会
第141回明大祭実行委員会,明大祭実行委員会
明大祭実行委員会,明大祭実行委員会
第２４回生明祭実行委員会,生明祭実行委員会
第25回生明祭実行委員会,生明祭実行委員会
生明祭実行委員会,生明祭実行委員会
明オケ,交響楽団（明オケ）
明治大学交響楽団,交響楽団（明オケ）
落研,落語研究会
明治大学落語研究会,落語研究会
明治大学落研,落語研究会
BSSO,Big Sounds Society Orchestra（BSSO）
明治大学BSSO,Big Sounds Society Orchestra（BSSO）
明治大学Big Sounds Society Orchestra,Big Sounds Society Orchestra（BSSO）
グリフィンズ,アメリカンフットボール部
明治大学グリフィンズ,アメリカンフットボール部
ハスキーズ,ラクロス部（男子）
明治大学ハスキーズ,ラクロス部（男子）
ANCHORS,男子チアリーディングチームANCHORS
明治大学ANCHORS,男子チアリーディングチームANCHORS
男子チアリーディングチーム,男子チアリーディングチームANCHORS
マンクラ,マンドリン倶楽部
明治大学マンドリン倶楽部,マンドリン倶楽部
グリー,グリークラブ
明治大学グリークラブ,グリークラブ
明混,混声合唱団
明治大学混声合唱団,混声合唱団
