venue_name,venue_address
大宮けんぽ,埼玉県さいたま市西区二ツ宮113-1
慶應義塾大学　日吉記念館,神奈川県横浜市港北区日吉4丁目1−1
横浜武道館2F アリーナ（メインアリーナ）,神奈川県横浜市中区翁町2-9-10
いちい信⾦アリーナ（⼀宮市総合体育館）,愛知県一宮市光明寺白山前20
いちい信⾦中央アリーナ（いちのみや中央プラザ体育館）,愛知県一宮市野口1丁目6-22
豊田自動織機 海陽ヨットハーバー,愛知県蒲郡市海陽町 1-7
豊田自動織機 海陽ヨットハーバー沖,愛知県蒲郡市海陽町一-7番地
筑波大学第一サッカー場,茨城県つくば市天久保3-1
筑波大学中央体育館,茨城県つくば市天久保3-1-1
ノーブルホームスタジアム水戸（茨城県水戸市）,茨城県水戸市見川町2256
ケーズデンキスタジアム水戸,茨城県水戸市小吹町 20581
流通経済大学サッカー場,茨城県龍ケ崎市平畑120
JFE晴れの国スタジアム,岡山県岡山市北区いずみ町2
沖縄県国頭村字奥間海岸（オクマプライベートビーチ＆リゾート）,沖縄県国頭郡国頭村奥間913 プライベートビーチ ＆ リゾート
オクマプライベートビーチ＆リゾート,沖縄県国頭村字奥間海岸
いわぎんスタジアムBグラウンド,岩手県盛岡市永井8-65
岐阜メモリアルセンター長良川競技場,岐阜県岐阜市長良福光大野2675-28
京都府白梅スポーツクラブ),京都府京都市北区雲ケ畑出谷町167
ユタカアイスアリーナーくしろ（釧路アイスアリーナー）,釧路市鳥取大通3-6-33
釧路市柳町スピードスケート場,釧路市柳町1-1 柳町公園内
小倉クラッチ・スタジアム（桐生球場）,群馬県桐生市相生町3-300
高崎アリーナ,群馬県高崎市下和田町4-1-18
高崎健康福祉大学伊香保リンク,群馬県渋川市伊香保町伊香保587-1
ALSOKぐんまアイスアリーナ群馬県総合スポーツセンター,群馬県前橋市関根町800
広島県立総合体育館,広島市中区基町4-1
香川県立丸亀競技場,香川県丸亀市金倉町830
あなぶきアリーナ香川,香川県高松市サンポート6-11
佐賀県立森林公園野球場、ひぜしんスタジアム、嬉野総合運動公園野球場,佐賀市久保田町大字徳万1897
サイデン化学アリーナ,埼玉県さいたま市桜区道場4-3-1
妻沼滑空場,埼玉県熊谷市葛和田1975
戸田ボートコース,埼玉県戸田市戸田公園5-27
所沢航空記念公園野球場,埼玉県所沢市並木1-13
埼玉県・所沢市民体育館,埼玉県所沢市並木5-3番地
埼玉県立武道館,埼玉県上尾市日の出4-1877
立教大学新座キャンパス,埼玉県新座市北野1−2−26
東洋大学朝霞キャンパス・サッカー場,埼玉県朝霞市岡48-1
駿河台大学ホッケー場,埼玉県飯能市阿須698
神宮弓道場,三重県伊勢市宇治中之切町152
三重県・四日市市総合体育館,三重県四日市市日永東1-3-21
鈴鹿サーキット国際南コース,三重県鈴鹿市稲生町7992
山梨市民総合体育館,山梨県山梨市上石森701
富士急ハイランド,山梨県富士吉田市新西原5-6-1
新潟市東総合スポーツセンター,新潟県新潟市東区はなみずき3-4-1
デンカビッグスワンスタジアム,新潟市中央区清五郎67番地12
神宮球場,新宿区霞ヶ丘町3-1
日清オイリオグループ横浜磯子事業場,神奈川県横浜市磯子区新森町1
関東学院大学金沢八景キャンパスグラウンド,神奈川県横浜市金沢区六浦東1-50-1
明治学院ヘボンフィールド,神奈川県横浜市戸塚区上倉田町1518
慶應應義塾大学下田グラウンド,神奈川県横浜市港北区下田町1-2
慶応大学日吉キャンパス,神奈川県横浜市港北区日吉4-1-1
慶応義塾大学協生館プール,神奈川県横浜市港北区日吉四丁目 1番 1号
ニッパツ三ツ沢球技場,神奈川県横浜市神奈川区三ツ沢西町3-1
日本体育大学健志台キャンパス,神奈川県横浜市青葉区鴨志田町1221-1
日本体育大学健志台キャンパス米本記念体育館,神奈川県横浜市青葉区鴨志田町1221-1
