team,tournament_name_sample,occurrence_count,years_seen,sample_url
マンドリン倶楽部,第198回定期演奏会,2,2024,https://www.mumc.jp/schedule/
マンドリン倶楽部,定期演奏会,2,2025,https://www.instagram.com/p/DI-qjkZzdTj/
体育会 アメリカンフットボール部,TOP8リーグ戦 第1節,7,2024,https://www.kcfa.jp/schedule_league/
体育会 アメリカンフットボール部,春季オープン戦,4,2024,アミノバイタルフィールド
体育会 アメリカンフットボール部,"１部リーグTOPリーグ
 全日本大学アメリカンフットボール選手権",3,2023,"https://www.meiji-griffins.net/schedule/
 
 https://www.kcfa.jp/result_team/"
体育会 アーチェリー部,第35回全日本学生フィールドアーチェリー選手権大会,3,"2023,2024,2025",https://www.ianseo.net/Details.php?toId=14636
体育会 アーチェリー部,第62回全日本学生アーチェリー個人選手権大会,3,"2023,2024,2025",https://www.ianseo.net/Details.php?toId=14637
体育会 アーチェリー部,"第62回全日本学生アーチェリー男子王座決定戦
 第58回全日本学生アーチェリー女子王座決定戦",2,"2023,2024",https://www.ianseo.net/Details.php?toId=12644
体育会 アーチェリー部,2025年度男女リーグ戦 第2戦 1部,2,2025,https://ksaf60thjikko.wixsite.com/ksaf-official/schedule
体育会 ウエイトリフティング部,東日本大学対抗選手権大会,2,"2023,2026",https://www.wlgakuren.com/%E8%A4%87%E8%A3%BD-2025%E5%A4%A7%E4%BC%9A%E7%B5%90%E6%9E%9C
体育会 ウエイトリフティング部,全日本学生個人選手権大会,2,"2023,2024",https://www.ajcwf.jp/cont3/35.html
体育会 サッカー部,関東大学サッカーリーグ戦,4,2024,https://www.jufa-kanto.jp/league_data.php?keyno=1&ctg=1
体育会 サッカー部,関東大学サッカーリーグ戦1部　明治大 vs 中央大学,3,2026,https://football-system.jp/fss/pub_taikaigamelist.php?lid=QyXUlC6jQ18=
体育会 サッカー部,JR東日本カップ2024 第98回関東大学サッカーリーグ戦【1部】,3,2024,https://www.jufa-kanto.jp/league.php
体育会 サッカー部,JR東⽇本カップ2025 第99回関東⼤学サッカーリーグ戦　対日本大学,3,2025,https://www.jufa-kanto.jp/news.php?kn=4097
体育会 サッカー部,JR東⽇本カップ2025 第99回関東⼤学サッカーリーグ戦　対中央大学,3,2025,https://www.jufa-kanto.jp/news.php?kn=4097
体育会 サッカー部,関東大学サッカーリーグ戦1部　明治大 vs ⽇本体育大学,2,2026,https://football-system.jp/fss/pub_taikaigamelist.php?lid=QyXUlC6jQ18=
体育会 サッカー部,関東大学サッカーリーグ戦1部　明治大 vs ⽇本大学,2,2026,https://football-system.jp/fss/pub_taikaigamelist.php?lid=QyXUlC6jQ18=
体育会 サッカー部,関東大学サッカーリーグ戦1部　明治大 vs 駒澤大学,2,2026,https://football-system.jp/fss/pub_taikaigamelist.php?lid=QyXUlC6jQ18=
体育会 サッカー部,関東大学サッカーリーグ戦1部　明治大 vs 法政大学,2,2026,https://football-system.jp/fss/pub_taikaigamelist.php?lid=QyXUlC6jQ18=
体育会 サッカー部,関東大学サッカーリーグ戦1部　明治大 vs 筑波大学,2,2026,https://football-system.jp/fss/pub_taikaigamelist.php?lid=QyXUlC6jQ18=
体育会 サッカー部,関東大学サッカーリーグ戦1部　明治大 vs 東洋大学,2,2026,https://football-system.jp/fss/pub_taikaigamelist.php?lid=QyXUlC6jQ18=
体育会 サッカー部,関東大学サッカーリーグ戦1部　明治大 vs 国⼠舘大学,2,2026,https://football-system.jp/fss/pub_taikaigamelist.php?lid=QyXUlC6jQ18=
体育会 サッカー部,関東大学サッカーリーグ戦1部　明治大 vs 桐蔭横浜大学,2,2026,https://football-system.jp/fss/pub_taikaigamelist.php?lid=QyXUlC6jQ18=
体育会 サッカー部,関東大学サッカーリーグ戦1部　明治大 vs 東海大学,2,2026,https://football-system.jp/fss/pub_taikaigamelist.php?lid=QyXUlC6jQ18=
体育会 サッカー部,第48回総理大臣杯全日本大学サッカートーナメント,2,2024,https://www.jufa.jp/news/news.php?kn=1602　　　　https://www.jufa.jp/_data/pdf/p_1722532509.pdf
体育会 サッカー部,JR東⽇本カップ2025 第99回関東⼤学サッカーリーグ戦　対桐蔭横浜大学,2,2025,https://www.jufa-kanto.jp/news.php?kn=4097
体育会 サッカー部,JR東⽇本カップ2025 第99回関東⼤学サッカーリーグ戦　対流通経済大学,2,2025,https://www.jufa-kanto.jp/news.php?kn=4097
体育会 サッカー部,JR東⽇本カップ2025 第99回関東⼤学サッカーリーグ戦　対東京国際大学,2,2025,https://www.jufa-kanto.jp/news.php?kn=4097
体育会 サッカー部,JR東⽇本カップ2025 第99回関東⼤学サッカーリーグ戦　対東洋大学,2,2025,https://www.jufa-kanto.jp/news.php?kn=4097
体育会 スケート部 アイスホッケー部門,エイワ杯2024年度関東大学アイスホッケーリーグ戦セカンドリーグ,3,2024,https://tihf.jp/?ctg=19&cnt=172333571959010600#jump1
体育会 スケート部 アイスホッケー部門,秩父宮杯 第72回関東大学アイスホッケー選手権大会 決勝リーグ,3,2025,https://tihf.jp/?ctg=1&cnt=174040294354549300
体育会 スケート部 アイスホッケー部門,秩父宮杯 第72回関東大学アイスホッケー選手権大会,2,2025,https://tihf.jp/?ctg=1&cnt=174040294354549300
体育会 スケート部（アイスホッケー ）,2026年秩父宮杯第73回関東大学アイスホッケー選手権大会,2,2026,https://tihf.jp/?ctg=19&cnt=177416922300085700#jump1
体育会 スケート部（スピード ),第９７回日本学生氷上競技選手権大会 スピードスケート競技,3,2025,https://jacsif.jp/%e3%80%90%e3%82%b9%e3%83%94%e3%83%bc%e3%83%89%e9%83%a8%e9%96%80%e3%80%9197%e5%9b%9e%e3%82%a4%e3%83%b3%e3%82%ab%e3%83%ac%e3%80%80%e8%a6%81%e9%a0%85%e7%ad%89%e3%81%ab%e3%81%a4%e3%81%84%e3%81%a6/
体育会 スケート部（フィギュア）,第94回全日本フィギュアスケート選手権大会,2,"2023,2025",https://www.skatingjapan.or.jp/event/detail.php?id=1869
体育会 ハンドボール部,秋季リーグ,3,2024,https://www.asahi-net.or.jp/~zb3m-knk/2024A_nittei.html
体育会 ハンドボール部,春季リーグ戦,2,"2023,2025",https://www.asahi-net.or.jp/~zb3m-knk/2023S_nittei.html
体育会 ハンドボール部,★台風のため延期　秋季リーグ戦,2,2024,https://www.asahi-net.or.jp/~zb3m-knk/2024A_nittei.html
体育会 バスケットボール部,第19回東京六大学バスケットボールリーグ戦,3,2025,https://meiji-basketball.com/%e5%85%ad%e5%a4%a7%e5%ad%a6%e3%83%aa%e3%83%bc%e3%82%b0%e3%80%80%e8%a9%a6%e5%90%88%e6%97%a5%e7%a8%8b/
体育会 バスケットボール部,第72回関東大学バスケットボール選手権大会,2,"2023,2025",https://www.kcbbf.jp/index/show-pdf/url/aHR0cHM6Ly9kMmEwdjF4N3F2eGw2Yy5jbG91ZGZyb250Lm5ldC9maWxlcy9zcG9ocF9rY2JiZi9nYW1lX2NhdGVnb3J5LzY3ZjExOTQ0N2QxZjgucGRm
体育会 バスケットボール部,秋季リーグ戦,2,2024,https://www.kcbbf.jp/game/index/type/league
体育会 バスケットボール部（女子）,第６０回関東大学女子バスケットボール選手権大会,3,2026,https://www.kanjyo.com/news/detail/id/1084
体育会 バスケットボール部（男子）,明治大 vs 東海大学,2,2026,https://www.kcbbf.jp/index/show-pdf/url/aHR0cHM6Ly9kMmEwdjF4N3F2eGw2Yy5jbG91ZGZyb250Lm5ldC9maWxlcy9zcG9ocF9rY2JiZi9nYW1lX2NhdGVnb3J5LzY4Y2ZhMjQxZWQyNmEucGRm
体育会 バスケットボール部（男子）,明治大 vs 青山学院大学,2,2026,https://www.kcbbf.jp/index/show-pdf/url/aHR0cHM6Ly9kMmEwdjF4N3F2eGw2Yy5jbG91ZGZyb250Lm5ldC9maWxlcy9zcG9ocF9rY2JiZi9nYW1lX2NhdGVnb3J5LzY4Y2ZhMjQxZWQyNmEucGRm
体育会 バスケットボール部（男子）,明治大 vs 日本体育大学,2,2026,https://www.kcbbf.jp/index/show-pdf/url/aHR0cHM6Ly9kMmEwdjF4N3F2eGw2Yy5jbG91ZGZyb250Lm5ldC9maWxlcy9zcG9ocF9rY2JiZi9nYW1lX2NhdGVnb3J5LzY4Y2ZhMjQxZWQyNmEucGRm
体育会 バスケットボール部（男子）,明治大 vs 筑波大学,2,2026,https://www.kcbbf.jp/index/show-pdf/url/aHR0cHM6Ly9kMmEwdjF4N3F2eGw2Yy5jbG91ZGZyb250Lm5ldC9maWxlcy9zcG9ocF9rY2JiZi9nYW1lX2NhdGVnb3J5LzY4Y2ZhMjQxZWQyNmEucGRm
体育会 バスケットボール部（男子）,明治大 vs 専修大学,2,2026,https://www.kcbbf.jp/index/show-pdf/url/aHR0cHM6Ly9kMmEwdjF4N3F2eGw2Yy5jbG91ZGZyb250Lm5ldC9maWxlcy9zcG9ocF9rY2JiZi9nYW1lX2NhdGVnb3J5LzY4Y2ZhMjQxZWQyNmEucGRm
体育会 バスケットボール部（男子）,明治大 vs 日本大学,2,2026,https://www.kcbbf.jp/index/show-pdf/url/aHR0cHM6Ly9kMmEwdjF4N3F2eGw2Yy5jbG91ZGZyb250Lm5ldC9maWxlcy9zcG9ocF9rY2JiZi9nYW1lX2NhdGVnb3J5LzY4Y2ZhMjQxZWQyNmEucGRm
体育会 バスケットボール部（男子）,明治大 vs 白鷗大学,2,2026,https://www.kcbbf.jp/index/show-pdf/url/aHR0cHM6Ly9kMmEwdjF4N3F2eGw2Yy5jbG91ZGZyb250Lm5ldC9maWxlcy9zcG9ocF9rY2JiZi9nYW1lX2NhdGVnb3J5LzY4Y2ZhMjQxZWQyNmEucGRm
体育会 バスケットボール部（男子）,明治大 vs 早稲田大学,2,2026,https://www.kcbbf.jp/index/show-pdf/url/aHR0cHM6Ly9kMmEwdjF4N3F2eGw2Yy5jbG91ZGZyb250Lm5ldC9maWxlcy9zcG9ocF9rY2JiZi9nYW1lX2NhdGVnb3J5LzY4Y2ZhMjQxZWQyNmEucGRm
体育会 バスケットボール部（男子）,明治大 vs 中央大学,2,2026,https://www.kcbbf.jp/index/show-pdf/url/aHR0cHM6Ly9kMmEwdjF4N3F2eGw2Yy5jbG91ZGZyb250Lm5ldC9maWxlcy9zcG9ocF9rY2JiZi9nYW1lX2NhdGVnb3J5LzY4Y2ZhMjQxZWQyNmEucGRm
体育会 バスケットボール部（男子）,明治大 vs 神奈川大学,2,2026,https://www.kcbbf.jp/index/show-pdf/url/aHR0cHM6Ly9kMmEwdjF4N3F2eGw2Yy5jbG91ZGZyb250Lm5ldC9maWxlcy9zcG9ocF9rY2JiZi9nYW1lX2NhdGVnb3J5LzY4Y2ZhMjQxZWQyNmEucGRm
体育会 バスケットボール部（男子）,明治大 vs 大東文化大学,2,2026,https://www.kcbbf.jp/index/show-pdf/url/aHR0cHM6Ly9kMmEwdjF4N3F2eGw2Yy5jbG91ZGZyb250Lm5ldC9maWxlcy9zcG9ocF9rY2JiZi9nYW1lX2NhdGVnb3J5LzY4Y2ZhMjQxZWQyNmEucGRm
体育会 バトミントン部,2025年度関東大学バドミントン春季リーグ戦,2,2025,http://www.kantoibf.com/data/events/000674/006179.pdf
体育会 バレーボール部,２０２４年度秋季関東大学男子１部バレーボールリーグ戦,9,2024,https://kanto.volleyball-u.jp/wp-content/uploads/2024/07/1c0eeb84fafdd85110c0acb6ebd4583a.pdf
体育会 バレーボール部,第７７回 秩父宮賜杯全日本バレーボール大学男子選手権大会 第７１回 秩父宮妃賜杯全日本バレーボール大学女子選手権大会   ミキプルーンスーパーカレッジバレー２０２４,5,2024,https://volleyball-u.jp/tournament/5494
体育会 バレーボール部,春季リーグ戦 　対法政大,2,2025,https://www.asahi-net.or.jp/~zb3m-knk/2025S_nittei.html
体育会 ホッケー部,2024年度関東学生ホッケー秋季リーグ,2,2024,https://myhockey.jp/events/2024autumn_univ_kanto/#sec03
体育会 ホッケー部,春季関東学生ホッケーリーグ　対？,2,2025,http://www.aikikai.or.jp/about/information/event.html
体育会 ホッケー部,TokyoBayカップ2026,2,2026,https://www.facebook.com/meijihockey
体育会 ヨット部,関東個人選手権,2,2026,https://drive.google.com/file/d/1LM36sQK-F901lnCGJPEgRwL4Z14fQcB_/view
体育会 ヨット部,全日本インカレ,2,"2024,2026",https://drive.google.com/file/d/1LM36sQK-F901lnCGJPEgRwL4Z14fQcB_/view
体育会 ヨット部,第88回全日本学生ヨット選手権大会,2,"2023,2025","https://www.jsaf.or.jp/members/
 
 https://www.jsaf.or.jp/race/2023/race_schedule_20230511.pdf"
体育会 ラクロス部（女子）,9.7_第36回関東学生ラクロスリーグ戦･女子,4,2024,https://docs.google.com/spreadsheets/d/18x0yssHtRK-FE9wyMgpaBWvSUrBi8BH_NvSTLXsQyao/edit?gid=0#gid=0
体育会 ラクロス部（男子）,8.31_第36回関東学生ラクロスリーグ戦･男子,2,2024,https://docs.google.com/spreadsheets/d/12EQfq0BWkRNINalFCePgbUSQWYaHr5sAYvi54DPd5Lk/edit?gid=0#gid=0
体育会 ラクロス部（男子）,第36回関東学生ラクロスリーグ戦,2,2024,https://docs.google.com/spreadsheets/d/12EQfq0BWkRNINalFCePgbUSQWYaHr5sAYvi54DPd5Lk/edit?gid=0#gid=0
体育会 ラグビー部,2024(R6)年度 関東大学ラグビー対抗戦Aグループ日,2,2024,https://www.rugby.or.jp/files/document/2202-1.pdf
体育会 レスリング部,全日本大学グレコローマン選手権,2,"2023,2024",https://www.japan-wrestling.jp/schedule/
